"","surface","avg.AIC","avg.AICc","avg.weight","avg.rank","avg.R2m","avg.LL","avg.RMSE","n","Percent.top","k"
"1","urban",239704.769611242,239704.829611242,0.102215134881911,4.495,0.000102782767243369,-119849.384805621,1.03512892815718,326,32.6,3
"2","Distance",239705.997759177,239706.027684364,0.0523543145004313,6.746,7.41175376690019e-06,-119850.998879589,1.03514888054142,180,18,2
"3","urban.water",239705.758259753,239705.858510379,0.0615698223365235,7.468,0.000146817618392558,-119848.879129876,1.03512144101033,94,9.4,4
"4","beach.scrub",239706.573841803,239706.674092429,0.0547739731841812,11.915,4.71981501710626e-05,-119849.286920901,1.03512623325616,136,13.6,4
"5","urban.beach",239706.769709378,239706.869960004,0.0368466955384247,12.287,0.000102765722752697,-119849.384854689,1.03512892874482,0,0,4
"6","beach",239707.997759177,239708.057759177,0.0189726210747039,15.775,7.41175368692399e-06,-119850.998879589,1.03514888054125,0,0,3
"7","water",239708.026199847,239708.086199847,0.0186794607146916,16.443,1.47548163553889e-05,-119851.013099923,1.0351488584442,0,0,3
"8","fixed",239708.257440177,239708.317440177,0.0169415873279225,18.085,8.10411223011952e-06,-119851.128720089,1.0351505486837,0,0,3
"9","agric",239708.330202122,239708.390202122,0.0163503573743529,18.721,6.40871570958894e-05,-119851.165101061,1.03514993492847,0,0,3
"10","scrub",239708.338597766,239708.398597766,0.0179246919796479,18.997,9.75674971699333e-05,-119851.169298883,1.03515264417625,8,0.8,3
"11","opend",239708.38983565,239708.44983565,0.0181467633080691,19.006,9.40948505285717e-05,-119851.194917825,1.03515004905785,10,1,3
"12","urban.water.beach",239707.799429164,239707.950182933,0.0218466410590115,19.83,0.000149543715714528,-119848.899714582,1.03512173832357,0,0,5
"13","urban.agric.beach",239707.985019544,239708.135773313,0.0207620392283664,21.764,0.000147197185236648,-119848.992509772,1.03512325665971,0,0,5
"14","urban.agric.fixed",239707.760623984,239707.911377753,0.0474299454812773,23.451,0.000208127036635789,-119848.880311992,1.03512839879333,95,9.5,5
"15","water.beach.scrub",239708.412243644,239708.562997413,0.022223525690952,26.394,4.54143178224303e-05,-119849.206121822,1.03512515441936,0,0,5
"16","agric.fixed",239708.995262619,239709.095513245,0.015883273781855,27.019,0.000260779961866013,-119850.497631309,1.03514416298616,17,1.7,4
"17","urban.beach.opend",239708.780192809,239708.930946578,0.0119333526969964,27.87,8.21486990979545e-05,-119849.390096404,1.0351290376142,0,0,5
"18","urban.fixed",239709.195534416,239709.295785042,0.0139315470259937,29.873,0.000127516771034485,-119850.597767208,1.03514698976655,10,1,4
"19","urban.agric",239709.370400103,239709.47065073,0.0127528065143725,31.017,7.97979670796418e-05,-119850.685200052,1.03514893846356,11,1.1,4
"20","agric.scrub.fixed",239709.179527467,239709.330281236,0.0170885590277656,31.753,0.000165222846647135,-119849.589763734,1.03513100018284,34,3.4,5
"21","beach.fixed",239709.953410931,239710.053661558,0.00701769135819444,35.569,7.96232167602216e-06,-119850.976705466,1.03514864437477,0,0,4
"22","agric.beach",239709.959102158,239710.059352785,0.00693024183227179,35.645,7.84611600831452e-06,-119850.979551079,1.035148677689,0,0,4
"23","urban.fixed.opend",239709.395335706,239709.546089475,0.0164769014985865,35.906,6.58718841151594e-05,-119849.697667853,1.03513393773697,22,2.2,5
"24","scrub.opend",239710.07697349,239710.177224116,0.00751361636997351,36.101,0.000120469737888609,-119851.038486745,1.0351483679243,1,0.1,4
"25","water.beach",239709.994649535,239710.094900162,0.00684898965982123,36.284,7.42878846385142e-06,-119850.997324768,1.0351488607717,0,0,4
"26","beach.opend",239710.157620748,239710.257871375,0.00714745367673949,36.827,0.000111775861160633,-119851.078810374,1.03514875936762,0,0,4
"27","agric.fixed.opend",239709.678333332,239709.829087101,0.0133912132721577,36.909,0.000236084294910869,-119849.839166666,1.03513608090665,18,1.8,5
"28","fixed.opend",239710.202463874,239710.302714501,0.00718879072950962,38.378,8.41617788134152e-05,-119851.101231937,1.03514886238263,2,0.2,4
"29","water.scrub",239710.269970494,239710.370221121,0.00656309530785893,39.566,9.17228497316443e-05,-119851.134985247,1.03515219134965,0,0,4
"30","water.fixed",239710.254305934,239710.354556561,0.00611518817083875,39.737,8.1049331186051e-06,-119851.127152967,1.03515052580419,0,0,4
"31","urban.opend",239710.383469644,239710.48372027,0.00655214338817259,40.136,9.41779992169512e-05,-119851.191734822,1.03515001096598,0,0,4
"32","agric.scrub",239710.31845511,239710.418705736,0.00650964981037824,40.385,9.94550594095274e-05,-119851.159227555,1.03515254876071,0,0,4
"33","water.opend",239710.390321525,239710.490572152,0.00654090164888481,40.598,9.40481555888909e-05,-119851.195160763,1.03515005264848,0,0,4
"34","agric.opend",239710.394263152,239710.494513778,0.00653091640099936,40.777,9.36430356694798e-05,-119851.197131576,1.03515008000791,0,0,4
"35","water.agric",239710.340571164,239710.440821791,0.0058677619641733,40.821,6.43285518846133e-05,-119851.170285582,1.03515000070639,0,0,4
"36","urban.water.agric.beach",239709.988109867,239710.199696769,0.00654296617540351,43.193,0.000116132517100704,-119848.994054934,1.03512373909359,0,0,6
"37","urban.agric.beach.opend",239709.990000864,239710.201587766,0.0073710289362515,43.585,0.000146868794839579,-119848.995000432,1.03512328275105,0,0,6
"38","urban.water.agric.fixed",239709.799186512,239710.010773414,0.0148379866065694,45.373,0.00019331562379713,-119848.899593256,1.0351284214488,0,0,6
"39","agric.beach.fixed",239710.576730555,239710.727484324,0.00612206638033356,47.363,0.000223323926778816,-119850.288365278,1.03514159153992,0,0,5
"40","urban.scrub",239710.954596578,239711.054847204,0.00596221260793667,47.882,3.2448979097529e-05,-119851.477298289,1.03515473302684,1,0.1,4
"41","urban.agric.beach.fixed",239710.129173243,239710.340760145,0.012871359166996,48.429,0.000147526336049846,-119849.064586622,1.03512676474309,10,1,6
"42","beach.scrub.opend",239710.925378752,239711.076132521,0.00512193771707611,49.51,0.000175674990250324,-119850.462689376,1.03514006604888,1,0.1,5
"43","scrub.fixed",239711.068694275,239711.168944902,0.00533158529813016,49.951,1.73500422338439e-05,-119851.534347138,1.03515539517876,1,0.1,4
"44","water.agric.beach.scrub",239710.43187374,239710.643460642,0.00824869326524848,50.224,3.95846387433322e-05,-119849.21593687,1.03512536480038,0,0,6
"45","agric.scrub.fixed.opend",239710.670513462,239710.882100364,0.00610205699911855,50.558,0.000132608879645989,-119849.335256731,1.03512832697665,1,0.1,6
"46","water.agric.fixed",239710.876182243,239711.026936011,0.00619344736733113,51.321,0.00025085643417978,-119850.438091121,1.03514357449759,0,0,5
"47","agric.beach.scrub.fixed",239710.754914318,239710.966501219,0.00798905459365366,52.464,0.000175497788711068,-119849.377457159,1.03512835732129,0,0,6
"48","water.scrub.opend",239711.272201175,239711.422954944,0.00495983365918553,54.6,0.000174398790933347,-119850.636100587,1.03514291149983,3,0.3,5
"49","agric.beach.scrub.opend",239711.125726177,239711.337313079,0.00635373756965922,55.762,0.000253269026581783,-119849.562863088,1.03512823673258,3,0.3,6
