"","surface","avg.AIC","avg.AICc","avg.weight","avg.rank","avg.R2m","avg.LL","avg.RMSE","n","Percent.top","k"
"1","Distance",29842.4282669742,29842.5165022683,0.495125679467613,1.1,0.000245171445869588,-14919.2141334871,1.09492895870748,901,90.1,2
"2","beach",29844.4282669742,29844.606044752,0.1741714896272,2.626,0.000245171445156259,-14919.2141334871,1.0949289587073,0,0,3
"3","urban",29845.5853091266,29845.7630869043,0.114745513229125,3.376,0.000246711422516843,-14919.7926545633,1.09500034099748,15,1.5,3
"4","scrub",29847.0430051163,29847.2207828941,0.0691465512320341,4.368,0.00596144049723618,-14920.5215025581,1.09507611460468,5,0.5,3
"5","opend",29847.8042741687,29847.9820519465,0.0731491843414667,4.705,0.000135343741151228,-14920.9021370844,1.09512079873148,44,4.4,3
"6","fixed",29847.5738775247,29847.7516553025,0.0736615821025608,4.825,0.000735324124218215,-14920.7869387623,1.09516271913062,35,3.5,3
