"","surface","avg.AIC","avg.AICc","avg.weight","avg.rank","avg.R2m","avg.LL","avg.RMSE","n","Percent.top","k"
"1","Distance",239682.51557313,239682.545498317,0.196256520733984,1.761,7.92631123452268e-06,-119839.257786565,1.03506586297774,339,33.9,2
"2","urban",239681.1953185,239681.2553185,0.391636747816396,1.896,0.000110349507102708,-119837.59765925,1.03504544715698,610,61,3
"3","beach",239684.51557313,239684.57557313,0.0711211795400974,4.562,7.9263112391433e-06,-119839.257786565,1.03506586297766,0,0,3
"4","water",239684.545887753,239684.605887753,0.069939252804654,5.082,1.59531734599859e-05,-119839.272943877,1.03506583908579,0,0,3
"5","opend",239684.915653315,239684.975653315,0.0721501291507626,5.544,0.000102588868322316,-119839.457826658,1.03506705223518,25,2.5,3
"6","fixed",239684.771374478,239684.831374478,0.0647111453540971,5.586,8.77986302521779e-06,-119839.385687239,1.03506751229362,1,0.1,3
"7","scrub",239684.88398166,239684.94398166,0.0734095022801122,5.624,0.000105510325423159,-119839.44199083,1.03506977423723,25,2.5,3
"8","agric",239684.870880171,239684.930880171,0.0607755223198971,5.945,6.81589703913024e-05,-119839.435440086,1.03506701809438,0,0,3
