"","surface","avg.AIC","avg.AICc","avg.weight","avg.rank","avg.R2m","avg.LL","avg.RMSE","n","Percent.top","k"
"1","Distance",16505.839094323,16505.9603064443,0.299433605142891,1.055,0.000105449843539823,-8250.91954716152,1.13084161876923,945,94.5,2
"2","scrub",16507.8029371006,16508.0478350598,0.109886040523518,4.044,9.08386432815285e-05,-8250.90146855032,1.13082735376552,14,1.4,3
"3","agric",16507.839094323,16508.0839922822,0.103549503011527,4.115,0.000105449843493204,-8250.91954716152,1.13084161876911,0,0,3
"4","beach",16507.839094323,16508.0839922822,0.103549503011525,4.117,0.000105449843539823,-8250.91954716152,1.13084161876923,0,0,3
"5","water",16507.839094323,16508.0839922822,0.103549503011518,4.121,0.00010544984302912,-8250.91954716152,1.13084161876898,0,0,3
"6","fixed",16508.2518474656,16508.4967454248,0.100055632369984,4.41,0.000521169928323662,-8251.1259237328,1.13090025765126,27,2.7,3
"7","opend",16508.2205408781,16508.4654388372,0.0915636289139699,4.738,0.00011551119121795,-8251.11027043903,1.13087840999289,6,0.6,3
"8","urban",16508.3543952777,16508.5992932369,0.0884125840150669,4.982,0.00010033290035253,-8251.17719763886,1.13087709160914,8,0.8,3
