"","surface","avg.AIC","avg.AICc","avg.weight","avg.rank","avg.R2m","avg.LL","avg.RMSE","n","Percent.top","k"
"45","fixed.scrub",239657.340688847,239657.440939474,0.00464215209990849,52.727,1.98588744842427e-05,-119824.670344424,1.03488021813407,0,0,4
"46","scrub.beach.agric.water",239656.599221914,239656.810808816,0.00656510975062094,53.2,4.15864919771748e-05,-119822.299610957,1.03484945515504,0,0,6
"47","fixed.beach.agric.urban",239656.685213598,239656.896800499,0.00794637722823406,53.707,0.000138148743956877,-119822.342606799,1.03485285032582,4,0.4,6
"48","fixed.scrub.beach.agric",239656.89942574,239657.111012642,0.00701946084859318,54.415,0.000176115039939662,-119822.44971287,1.03485243878565,2,0.2,6
"49","fixed.agric.water",239657.145838839,239657.296592608,0.00573045135012957,54.714,0.00025763231386147,-119823.57291942,1.0348687798854,0,0,5
"50","opend.scrub.beach.agric",239657.112023308,239657.32361021,0.00590921193511747,55.523,0.000272544359062994,-119822.556011654,1.03485113427935,3,0.3,6
"51","opend.scrub.beach",239657.4811005,239657.631854269,0.00485901882636275,56.979,0.000189530182713835,-119823.74055025,1.03486678450362,3,0.3,5
"52","opend.scrub.water",239657.522439529,239657.673193298,0.00411884177781072,57.662,0.000178712964288233,-119823.761219765,1.03486753345765,1,0.1,5
"53","opend.beach.agric.urban",239657.148957571,239657.360544473,0.00363258761723777,57.705,9.98792270243582e-05,-119822.574478786,1.034854459182,0,0,6
"54","opend.scrub.agric",239657.554846329,239657.705600098,0.00329962389494502,58.098,0.000127222888435236,-119823.777423165,1.03486800189633,0,0,5
"55","opend.fixed.agric.urban",239657.02441834,239657.236005242,0.00722951734311703,58.621,9.58753374802085e-05,-119822.51220917,1.03485404154045,6,0.6,6
"56","opend.agric.water.urban",239657.279530742,239657.491117644,0.00395345452603607,59.54,0.000114496454826635,-119822.639765371,1.03485537244437,1,0.1,6
"57","fixed.water.urban",239657.471473681,239657.62222745,0.00446444124676954,59.584,0.000126384600881966,-119823.73573684,1.03487174146614,0,0,5
"58","opend.fixed.scrub",239657.687307352,239657.838061121,0.00319210274045491,59.792,0.000125062549220752,-119823.843653676,1.03486874651049,0,0,5
"59","fixed.scrub.agric.water",239657.346115974,239657.557702876,0.00523610511775846,59.99,0.000183095259880231,-119822.673057987,1.03485565069775,0,0,6
"60","opend.fixed.scrub.beach.agric",239657.246483733,239657.529312016,0.00383578475109547,60.639,0.000220895366901632,-119821.623241867,1.03484021099663,0,0,7
"61","opend.fixed.scrub.beach",239657.596544288,239657.808131189,0.00456909563828351,61.532,0.000243597294737223,-119822.798272144,1.0348538086642,1,0.1,6
"62","fixed.scrub.agric.urban",239657.357792898,239657.5693798,0.00715281275375923,61.96,0.000157948494740045,-119822.678896449,1.03485750984716,4,0.4,6
"63","agric.water.urban",239657.82247221,239657.973225979,0.00397958916559866,63.927,7.53347991317902e-05,-119823.911236105,1.03487421336945,0,0,5
"64","scrub.agric.water",239657.837040444,239657.987794213,0.00258920077867076,64.431,1.62067956136967e-05,-119823.918520222,1.03487092005452,0,0,5
"65","opend.fixed.water.urban",239657.65500098,239657.866587882,0.00516640271644019,66.393,6.98965010343789e-05,-119822.82750049,1.03485874318954,0,0,6
"66","opend.fixed.agric.water",239657.868399599,239658.079986501,0.00383606179872566,66.82,0.000277565318130416,-119822.9341998,1.03486106560341,0,0,6
"67","opend.beach.water",239658.140458483,239658.291212251,0.00228507686666094,66.9,8.5392731163474e-05,-119824.070229241,1.034871964165,0,0,5
"68","opend.beach.agric",239658.179522617,239658.330276386,0.00225015378198021,67.452,9.12576514826573e-05,-119824.089761309,1.03487217839135,0,0,5
"69","opend.fixed.beach.agric",239657.943638748,239658.15522565,0.0041720043846873,67.837,0.000239403465513029,-119822.971819374,1.0348611189879,0,0,6
"70","beach.agric.water",239658.098115538,239658.248869307,0.00235000743116544,67.874,8.77658582188901e-06,-119824.049057769,1.03487264455275,0,0,5
"71","opend.fixed.scrub.urban",239657.977436993,239658.189023894,0.00526755965394041,68.799,2.44262373502197e-05,-119822.988718496,1.03485930384329,6,0.6,6
"72","opend.fixed.beach",239658.360336104,239658.511089873,0.00221454917822649,70.021,8.46739152581239e-05,-119824.180168052,1.03487307637182,0,0,5
"73","opend.fixed.water",239658.393081283,239658.543835052,0.00210430062116853,70.602,8.96710618827386e-05,-119824.196540642,1.03487320227904,0,0,5
