"","surface","avg.AIC","avg.AICc","avg.weight","avg.rank","avg.R2m","avg.LL","avg.RMSE","n","Percent.top","k"
"79","fixed.scrub.agric.water",16516.5636378075,16517.4478483339,0.00174995362937614,77.688,0.000235766125485839,-8252.28181890377,1.13122235179491,0,0,6
"80","beach.agric.water.urban",16516.6009231733,16517.4851336996,0.00170640568469021,77.742,0.000111402910062797,-8252.30046158663,1.13122477221322,0,0,6
"81","fixed.scrub.beach.water",16516.641470975,16517.5256815013,0.00174623485177901,78.679,0.000224381320385546,-8252.32073548751,1.13122276080699,0,0,6
"82","fixed.scrub.beach.agric",16516.669417743,16517.5536282693,0.00180430042019578,78.871,0.000276581573819364,-8252.33470887151,1.13122345911592,0,0,6
"83","opend.fixed.beach.urban",16516.6428380852,16517.5270486115,0.00174651230361089,79.217,9.3397310449231e-05,-8252.32141904259,1.13122111216269,0,0,6
"84","opend.fixed.scrub.agric",16516.7072796345,16517.5914901608,0.00182789242076329,79.497,0.00029208648781709,-8252.35363981724,1.13122513345223,0,0,6
"85","opend.beach.agric.water",16516.6554682007,16517.539678727,0.00164352882798858,79.643,0.000129104714657774,-8252.32773410036,1.13123303524142,0,0,6
"86","opend.fixed.beach.agric",16516.6674166015,16517.5516271278,0.00163709892546302,79.763,0.000110559763189433,-8252.33370830073,1.13123405626639,0,0,6
"87","fixed.beach.agric.water",16516.6656578181,16517.5498683444,0.00163722183946558,79.767,0.000113238380827453,-8252.33282890905,1.13123412712368,0,0,6
"88","fixed.scrub.beach.urban",16516.7013779128,16517.5855884391,0.00176922134725735,79.922,0.00022018901782277,-8252.35068895638,1.13123296051416,0,0,6
"89","opend.beach.water.urban",16516.6634268674,16517.5476373937,0.00164269499069555,80.082,0.000131682032811493,-8252.33171343371,1.13123449741947,0,0,6
"90","opend.scrub.beach.urban",16516.6885195723,16517.5727300986,0.00162898650140396,80.345,0.0001018942363056,-8252.34425978614,1.13123729035446,0,0,6
"91","opend.fixed.scrub.beach",16516.7385695545,16517.6227800808,0.00166356713307409,80.649,0.000216468131177421,-8252.36928477724,1.1312302055997,0,0,6
"92","fixed.beach.water.urban",16516.713776106,16517.5979866323,0.00160098218275457,81.423,0.000100949218427081,-8252.35688805298,1.13123693200967,0,0,6
"93","opend.fixed.beach.water",16516.7936394808,16517.6778500071,0.00157510772032407,82.04,8.81270042956445e-05,-8252.3968197404,1.13123505756712,0,0,6
"94","opend.fixed.scrub.water",16516.8421237423,16517.7263342686,0.00159155879178806,83.06,0.000209348287699561,-8252.42106187113,1.13124085125146,0,0,6
"95","opend.fixed.agric.water",16516.787832579,16517.6720431053,0.00153748368123087,83.539,9.65924133868392e-05,-8252.3939162895,1.13124558680682,0,0,6
"96","fixed.beach.agric.urban",16516.8395832068,16517.7237937331,0.00150467515128521,84.409,0.000100177117525372,-8252.4197916034,1.13125249988391,0,0,6
"97","scrub.beach.water.urban",16516.9174076105,16517.8016181368,0.00156261974846158,84.631,0.000252790333357845,-8252.45870380524,1.13125576372371,0,0,6
"98","opend.scrub.water.urban",16516.9294536868,16517.8136642131,0.00156625141246478,84.85,0.000264739575672324,-8252.4647268434,1.13125627736509,0,0,6
"99","opend.agric.water.urban",16516.9159406999,16517.8001512262,0.00147344355610955,85.034,7.24729747493237e-05,-8252.45797034995,1.13125469892141,0,0,6
"100","opend.fixed.scrub.agric.urban",16517.4599860071,16518.6514753688,0.00125815349320387,90.718,0.000281523214953127,-8251.72999300357,1.13109978148033,0,0,7
"101","opend.fixed.scrub.water.urban",16518.0829433198,16519.2744326816,0.000795978408010588,100.059,0.000243444600195923,-8252.04147165992,1.13116458357397,0,0,7
"102","opend.fixed.scrub.beach.urban",16518.1586235701,16519.3501129318,0.000764576614452464,101.24,0.000261412104619828,-8252.07931178505,1.1311747146776,0,0,7
"103","opend.fixed.agric.water.urban",16518.2370167059,16519.4285060676,0.000708396680011019,102.158,0.000128156894361475,-8252.11850835297,1.13117673712462,0,0,7
"104","opend.fixed.beach.agric.urban",16518.2382340648,16519.4297234265,0.000707668549757058,102.264,0.00012815178661021,-8252.11911703239,1.13117676391006,0,0,7
"105","opend.scrub.agric.water.urban",16518.4114328898,16519.6029222515,0.000660169781734098,104.814,0.000297801884880557,-8252.2057164449,1.13119842416278,0,0,7
"106","fixed.scrub.beach.agric.urban",16518.4829535305,16519.6744428922,0.000667270952180551,105.129,0.000339571909656276,-8252.24147676526,1.13120824421145,0,0,7
"107","fixed.scrub.agric.water.urban",16518.4980636234,16519.6895529851,0.000675739362067201,105.287,0.000353459589246532,-8252.24903181168,1.13120836390643,0,0,7
"108","fixed.scrub.beach.agric.water",16518.4717748637,16519.6632642254,0.00061234611138294,105.94,0.000260126695285914,-8252.23588743185,1.13120506893343,0,0,7
"109","fixed.scrub.beach.water.urban",16518.5202049801,16519.7116943418,0.000633636519996372,106.062,0.000297396926993182,-8252.26010249006,1.13121313491347,0,0,7
"110","scrub.beach.agric.water.urban",16518.5615730992,16519.7530624609,0.000658118968078365,106.524,0.000356132352685813,-8252.28078654959,1.13121397135606,0,0,7
"111","opend.fixed.scrub.agric.water",16518.5176489945,16519.7091383562,0.000603931713422827,106.593,0.000281871512668692,-8252.25882449726,1.13120770236951,0,0,7
"112","opend.scrub.beach.agric.water",16518.5287703393,16519.720259701,0.000555218802260148,106.65,0.000150873703822918,-8252.26438516964,1.13122018724222,0,0,7
"113","opend.scrub.beach.water.urban",16518.8942190474,16520.0857084091,0.000603636295882264,106.686,8.50585982349302e-05,-8252.44710952371,1.13125383535247,0,0,7
"114","opend.fixed.beach.water.urban",16518.5503765313,16519.741865893,0.000580197296325763,106.772,0.000102115766198412,-8252.27518826563,1.13121024161957,0,0,7
"115","fixed.beach.agric.water.urban",16518.651938967,16519.8434283287,0.000520537337285359,107.999,0.000115317001609109,-8252.32596948352,1.13123314532957,0,0,7
"116","opend.fixed.scrub.beach.agric",16518.7070071925,16519.8984965542,0.000576749465991371,108.258,0.000291901252222378,-8252.35350359627,1.13122510122424,0,0,7
"117","opend.fixed.scrub.beach.water",16518.6458708611,16519.8373602228,0.000540022803848387,108.499,0.000192332933490874,-8252.32293543056,1.13122228301653,0,0,7
"118","opend.beach.agric.water.urban",16518.7965846015,16519.9880739632,0.000488368066313404,109.92,8.72480386937362e-05,-8252.39829230075,1.13123982255531,0,0,7
"119","opend.scrub.beach.agric.urban",16518.7484528215,16519.9399421832,0.000507240096282798,110.002,0.00017356403330463,-8252.37422641073,1.13123542176871,0,0,7
"120","opend.fixed.beach.agric.water",16518.8280345122,16520.0195238739,0.00047429123871338,110.409,9.86102235473378e-05,-8252.4140172561,1.13124961898124,0,0,7
"121","opend.fixed.scrub.agric.water.urban",16519.2992802336,16520.8476673304,0.0004468638387429,111.312,0.000273222299492895,-8251.6496401168,1.13107923109166,0,0,8
"122","opend.fixed.scrub.beach.agric.urban",16519.4601996687,16521.0085867655,0.000387066480755272,113.454,0.000281712932583719,-8251.73009983435,1.13109982667289,0,0,8
"123","opend.fixed.scrub.beach.water.urban",16520.0805803064,16521.6289674031,0.00024542631477728,118.958,0.000243408621969665,-8252.04029015318,1.13116429384817,0,0,8
"124","opend.fixed.beach.agric.water.urban",16520.2408270129,16521.7892141097,0.000217401712500572,119.404,0.000127944676882684,-8252.12041350644,1.13117704388284,0,0,8
"125","opend.fixed.scrub.beach.agric.water.urban",16520.4834537177,16522.0318408145,0.000208693875090386,120.302,0.000351546684157009,-8252.24172685884,1.13120707930103,0,0,8
"126","fixed.scrub.beach.agric.water.urban",16520.4924597583,16522.040846855,0.000207397046915066,120.648,0.000358226590379216,-8252.24622987913,1.13120833767315,0,0,8
"127","opend.fixed.scrub.beach.agric.water",16520.7249621256,16522.2733492224,0.000175066520478003,121.99,0.000281040227668049,-8252.36248106281,1.13122803324626,0,0,8
"128","opend.scrub.beach.agric.water.urban",16520.7708401143,16522.3192272111,0.000158491758292035,122.619,0.000204687402388486,-8252.38542005717,1.13123894382798,0,0,8
