"","surface","avg.AIC","avg.AICc","avg.weight","avg.rank","avg.R2m","avg.LL","avg.RMSE","n","Percent.top","k"
"69","urban.water.beach.scrub.opend",9936.77196266041,9938.37196266041,0.00382469949781242,59.644,0.00127356252085971,-4961.38598133021,1.17424083688289,0,0,7
"70","urban.water.scrub",9936.92827986018,9937.76161319352,0.00325707974363224,59.683,0.000180959122054585,-4963.46413993009,1.17504593100531,0,0,5
"71","urban.water.agric.scrub.opend",9936.7891861215,9938.3891861215,0.00378104975356376,60.485,0.00126328169947688,-4961.39459306075,1.17424408778087,0,0,7
"72","urban.water.scrub.fixed.opend",9936.81511430037,9938.41511430037,0.00370088511120091,60.807,0.00126000295009047,-4961.40755715018,1.17425078741342,0,0,7
"73","water.beach.scrub.fixed",9937.11421086483,9938.29730945638,0.00263746372807268,63.716,0.000584203757489896,-4962.55710543241,1.17469301537167,0,0,6
"74","water.agric.fixed.opend",9937.92202895659,9939.10512754814,0.00188375666034692,73.341,0.00131542774267777,-4962.9610144783,1.17483663319973,0,0,6
"75","water.beach.scrub.opend",9937.8720091395,9939.05510773104,0.00184020555112074,74.067,0.000700470198792357,-4962.93600456975,1.17484394799441,0,0,6
"76","water.agric.scrub.opend",9938.07820818413,9939.26130677568,0.0016663284652938,77.826,0.00072142936212016,-4963.03910409206,1.17488747432958,0,0,6
"77","agric.beach.fixed.opend",9938.1450538201,9939.32815241165,0.00163727340660059,78.114,0.00112597392993449,-4963.07252691005,1.17488337253358,0,0,6
"78","urban.agric.fixed.opend",9938.17028812506,9939.35338671661,0.00163221300364496,78.699,0.00114719382526958,-4963.08514406253,1.17488066705602,0,0,6
"79","urban.water.fixed.opend",9938.19761489583,9939.38071348738,0.00162325509638971,78.737,0.00108389759394371,-4963.09880744791,1.17485751978927,0,0,6
"80","urban.water.beach.opend",9938.20238469569,9939.38548328724,0.00157296418087166,79.003,0.000976728227111744,-4963.10119234785,1.17485927526156,0,0,6
"81","urban.agric.scrub.opend",9938.17883331875,9939.3619319103,0.00163592770389537,79.136,0.00111585655992304,-4963.08941665937,1.17489021802224,0,0,6
"82","urban.water.agric.opend",9938.208020304,9939.39111889555,0.00157333418347627,79.381,0.000983855634773678,-4963.104010152,1.17486021974342,0,0,6
