"","Surface","obj.func_LL","k","AIC","AICc","R2m","R2c","LL","DeltaAIC","DeltaAICc","DeltaLL","Feature1","Feature2"
"1","urban",-212945.994532887,3,425897.989065774,425898.033925587,9.05557408663228e-05,0.651929117310078,-212945.994532887,0,0,0,2500,1
"2","Null",-212949.837312611,1,425901.674625222,425901.682074012,0,0.651955813920255,-212949.837312611,3.68555944797117,3.64814842498163,3.84277972398559,NA,NA
"3","Distance",-212948.935227506,2,425901.870455012,425901.892843072,4.90662987578504e-06,0.651929046405557,-212948.935227506,3.88138923799852,3.85891748499125,2.94069461899926,NA,NA
"4","water",-212948.930840747,3,425903.902554637,425903.94741445,9.84876132543726e-06,0.651947100657877,-212948.951277319,5.91348886297783,5.91348886297783,2.95674443198368,1,2500
"5","agric",-212948.89633414,3,425904.406847549,425904.451707362,3.99352058710583e-05,0.652031106323069,-212949.203423774,6.41778177500237,6.41778177500237,3.20889088697731,1,2500
"6","beach",-212948.935227506,3,425903.870455012,425903.915314825,4.90663164862162e-06,0.651928927422084,-212948.935227506,5.88138923799852,5.88138923799852,2.94069461899926,1,2500
"7","scrub",-212948.926342773,3,425904.650594567,425904.69545438,5.04166015632371e-05,0.651795037327001,-212949.325297283,6.66152879298897,6.66152879298897,3.33076439599972,1,2500
"8","fixed",-212948.901955269,3,425904.328996263,425904.373856076,4.87738599348589e-06,0.651928048179631,-212949.164498131,6.33993048896082,6.33993048896082,3.16996524398564,2500,1
"9","opend",-212948.779740785,3,425904.433148412,425904.478008225,5.67569909043896e-05,0.652073239524499,-212949.216574206,6.44408263795776,6.44408263795776,3.22204131897888,1,2500
