"","Surface","obj.func_LL","k","AIC","AICc","R2m","R2c","LL","DeltaAIC","DeltaAICc","DeltaLL","Feature1","Feature2","Feature3","Feature4","Feature5","Feature6","Feature7"
"118","water.agric.beach.fixed.opend",-212946.559358548,7,425907.118717098,425907.329639885,0.000214987530267569,0.651869599660753,-212946.559358549,9.12965132400859,9.29571429797215,2.15821963100461,1.81569951835991,2500,247.417807248912,1,1157.02673142898,129.633208602631,NA
"119","water.agric.scrub.fixed.opend",-212945.883780259,7,425905.767560517,425905.978483304,0.000118818959577428,0.651949028552543,-212945.883780258,7.77849474299001,7.94455771695357,1.48264134000055,2.00178470792252,1,2500,760.734919327961,2136.63240225426,220.098732967995,NA
"120","water.beach.scrub.fixed.opend",-212946.255250558,7,425906.52207907,425906.733001857,0.000223362479836267,0.652253464799676,-212946.261039535,8.53301329596434,8.69907626998611,1.85990061698249,1,2363.51687439921,2500,1720.8277712935,1092.59566143185,1770.37921014384,NA
"121","agric.beach.scrub.fixed.opend",-212944.451329243,7,425902.905039729,425903.115962516,0.000196679375884866,0.652138297597057,-212944.452519864,4.91597395500867,5.08203692897223,0.0513809459807817,1,991.48270051785,2500,2365.07031119851,1403.18844249017,2362.9976359518,NA
"122","urban.water.agric.beach.scrub.fixed",-212946.075739939,8,425908.151479877,425908.42317799,0.000149639603232644,0.651985348514059,-212946.075739939,10.1624141029897,10.3892524029943,1.67460102098994,2.07384695627161,1,118.500566128755,2205.46826427847,2500,599.234689514223,2049.23698071361
"123","urban.water.agric.beach.scrub.opend",-212945.391106878,8,425906.78734683,425907.059044943,0.000226096249351107,0.652180730690398,-212945.393673415,8.79828105599154,9.02511935599614,0.992534496996086,1,14.1730844293029,2276.3114722496,470.074250966829,1752.49261139797,2500,1501.08032035868
"124","urban.water.agric.beach.fixed.opend",-212946.943832804,8,425909.887665606,425910.159363719,0.000161337341627762,0.651874284704975,-212946.943832803,11.8985998319695,12.1254381319741,2.54269388498506,1.37152584223622,20.5779054654977,1,2500,826.819095528306,1151.09669181226,692.945169827139
"125","urban.water.agric.scrub.fixed.opend",-212945.621144883,8,425907.241373693,425907.513071806,3.4180297062577e-05,0.652023839460701,-212945.620686847,9.25230791897047,9.47914621897507,1.21954792898032,1,2211.09884289464,893.217481198041,970.869271775182,2500,1472.54491180357,2216.1142909934
"126","urban.water.beach.scrub.fixed.opend",-99999,8,425915.645730832,425915.917428945,1.33658949349079e-07,0.65195870826042,-212949.822865416,17.6566650579916,17.8835033579962,5.42172649799613,1,1001.69071009757,1788.23227850656,1964.08212039874,141.58602278472,1919.5611866812,2500
"127","urban.agric.beach.scrub.fixed.opend",-212945.529593725,8,425907.059051756,425907.330749869,4.85433306755193e-05,0.652001222061299,-212945.529525878,9.06998598197242,9.29682428197702,1.12838695998653,1,1432.68788510798,1360.04802506507,1.774460818237,403.962620938356,2500,802.959698859604
"128","water.agric.beach.scrub.fixed.opend",-212944.397867694,8,425904.806798698,425905.078496812,0.000190753249793703,0.652092385829222,-212944.403399349,6.81773292395519,7.04457122500753,0.00226043097791262,1,987.766814085011,462.715187000656,2435.40834713049,2500,1213.90868935495,2161.56540923534
"129","urban.water.agric.beach.scrub.fixed.opend",-212944.393403792,8,425904.802277836,425905.073975949,0.000193564662406734,0.652096371302932,-212944.401138918,6.81321206199937,7.04005036200397,0,1,507.688268373746,441.329222011916,2049.68575745526,2500,1217.22277735467,2188.11824742781
