"","Surface","obj.func_LL","k","AIC","AICc","R2m","R2c","LL","DeltaAIC","DeltaAICc","DeltaLL","Feature1","Feature2","Feature3","Feature4","Feature5","Feature6","Feature7"
"78","opend.scrub.beach.urban",-212944.928474342,6,425901.856948685,425902.014843422,0.000149645065482599,0.652073799506939,-212944.928474342,3.8786280869972,3.98091783397831,0.528384558012476,41.2686313540385,183.172511950305,284.184793576125,2500,1,NA,NA
"79","opend.scrub.agric.water",-212947.400299476,6,425907.368058656,425907.525953393,0.000116193694760536,0.652055678455832,-212947.684029328,9.38973805797286,9.49202780501219,3.28393954399507,1,986.555855749767,2500,355.774274606374,833.441655522553,NA,NA
"80","opend.scrub.agric.urban",-212947.053447031,6,425906.295113894,425906.453008631,0.000101106227725608,0.652030852333541,-212947.147556947,8.31679329596227,8.41908304300159,2.74746716298978,1,967.058964280892,2500,226.079533571016,44.5162029887474,NA,NA
"81","opend.scrub.water.urban",-99999,6,425911.602868285,425911.760763022,4.5776641076844e-07,0.651953290278911,-212949.801434143,13.6245476869517,13.726837433991,5.40134435900836,1,1503.36663520637,212.478041605722,2061.07521920942,2500,NA,NA
"82","opend.beach.agric.water",-212948.712887478,6,425909.455794128,425909.613688865,5.46271097192962e-05,0.652053238060102,-212948.727897064,11.477473529987,11.5797632769682,4.32780728000216,1,452.422634684779,2500,367.61874222285,94.3515860933635,NA,NA
"83","opend.beach.agric.urban",-212946.354707711,6,425904.709415422,425904.867310159,7.94908832268438e-05,0.651933480518498,-212946.354707711,6.73109482397558,6.8333845710149,1.95461792699643,49.1075011879952,224.844149524196,2500,225.045520851319,1,NA,NA
"84","opend.beach.water.urban",-212948.734419262,6,425909.484121075,425909.642015812,4.83115498274917e-05,0.652019794285016,-212948.742060538,11.5058004769962,11.6080902239773,4.34197075400152,1,437.054430110024,2500,8.20698367584191,3.00457288199277,NA,NA
"85","opend.agric.water.urban",-212946.326451195,6,425904.985323786,425905.143218522,8.98971272487198e-05,0.651934370200903,-212946.492661893,7.00700318795862,7.10929293400841,2.09257210898795,312.762895299616,1406.45443339612,2500,28.4819558596632,1,NA,NA
"86","fixed.scrub.beach.agric",-212946.10304366,6,425904.209915571,425904.367810307,0.00014262357806756,0.652002010912289,-212946.104957785,6.23159497295273,6.33388471900253,1.70486800099025,1,2500,734.315542984892,1483.20941381912,883.694456728475,NA,NA
"87","fixed.scrub.beach.water",-99999,6,425911.671156231,425911.829050968,8.04609636190665e-08,0.651953989503374,-212949.835578115,13.6928356330027,13.7951253799838,5.43548833098612,1,2500,1876.67605598478,59.8939136254362,1448.94092362192,NA,NA
"88","fixed.scrub.beach.urban",-99999,6,425911.629819832,425911.787714569,2.68888151182585e-07,0.651957022895912,-212949.814909916,13.6514992339653,13.7537889810046,5.41482013199129,1,1058.71508851467,2500,2336.47282589342,124.190080135951,NA,NA
"89","fixed.scrub.agric.water",-212946.463659933,6,425904.974636251,425905.132530988,0.000146280331896811,0.651977813260008,-212946.487318125,6.99631565297022,7.09860540000955,2.08722834099899,1,2387.26269039848,695.445792659536,2500,128.866473546415,NA,NA
"90","fixed.scrub.agric.urban",-212946.239462391,6,425905.116266477,425905.274161214,0.00012460911107396,0.651781913008175,-212946.558133238,7.13794587895973,7.24023562599905,2.15804345399374,1,964.166458638988,9.51379865141462,322.480658909262,2500,NA,NA
"91","fixed.scrub.water.urban",-99999,6,425911.661542529,425911.819437266,2.27451185010291e-07,0.651952130106529,-212949.830771265,13.6832219309872,13.7855116779683,5.43068148099701,1,2233.81013853414,2132.25836531039,2500,25.3668411081235,NA,NA
"92","fixed.beach.agric.water",-212947.755855146,6,425908.095251896,425908.253146633,0.000169203107688324,0.651856787279349,-212948.047625948,10.116931297991,10.2192210449721,3.64753616400412,1,1519.35352857136,2500,363.464932661883,91.9870504308906,NA,NA
"93","fixed.beach.agric.urban",-212945.968950965,6,425903.937982517,425904.095877253,0.000111463712651068,0.651819251390392,-212945.968991258,5.95966191898333,6.06195166497491,1.56890147400554,1,1342.2673516371,11.8833909737737,469.254068218571,2500,NA,NA
"94","fixed.beach.water.urban",-212948.239844578,6,425908.658316475,425908.816211212,2.83861925108041e-05,0.651793139479702,-212948.329158237,10.6799958769698,10.7822856240091,3.92906845299876,1,674.717630745319,8.14130334320771,1547.15885714838,2500,NA,NA
"95","fixed.agric.water.urban",-212945.618233237,6,425903.260470939,425903.418365675,0.000170007384450661,0.651358921732256,-212945.630235469,5.28215034096502,5.38444008701481,1.23014568499639,1,222.357412870581,75.0696475543368,2.12574528016148,2500,NA,NA
