"","surface","name","value","category","value.resc","category.focal"
"1","urban.water","Feature1",2500,"all_else",2491.91917287822,"urban"
"2","urban.water","Feature2",8.0808271217752,"urban",0,"urban"
"3","urban.water","Feature3",1,"water",-7.0808271217752,"urban"
"4","urban.agric","Feature1",1,"all_else",-2499,"urban"
"5","urban.agric","Feature2",2500,"urban",0,"urban"
"6","urban.agric","Feature3",206.58872817972,"agric",-2293.41127182028,"urban"
"7","urban.beach","Feature1",2438.24980881456,"all_else",2437.24980881456,"urban"
"8","urban.beach","Feature2",1,"urban",0,"urban"
"9","urban.beach","Feature3",2500,"beach",2499,"urban"
"10","urban.scrub","Feature1",1,"all_else",-2499,"urban"
"11","urban.scrub","Feature2",2500,"urban",0,"urban"
"12","urban.scrub","Feature3",2277.09401447252,"scrub",-222.90598552748,"urban"
"13","urban.fixed","Feature1",1,"all_else",-2499,"urban"
"14","urban.fixed","Feature2",2500,"urban",0,"urban"
"15","urban.fixed","Feature3",632.795002059555,"trees",-1867.20499794045,"urban"
"16","urban.opend","Feature1",1,"all_else",-0.83886353190383,"urban"
"17","urban.opend","Feature2",1.83886353190383,"urban",0,"urban"
"18","urban.opend","Feature3",2500,"opend",2498.1611364681,"urban"
"19","urban.water.agric","Feature1",1,"all_else",-2499,"urban"
"20","urban.water.agric","Feature2",2500,"urban",0,"urban"
"21","urban.water.agric","Feature3",1041.2198263864,"water",-1458.7801736136,"urban"
"22","urban.water.agric","Feature4",102.365816095055,"agric",-2397.63418390495,"urban"
"23","urban.water.beach","Feature1",663.988106314689,"all_else",662.988106314689,"urban"
"24","urban.water.beach","Feature2",1,"urban",0,"urban"
"25","urban.water.beach","Feature3",8.19343318721076,"water",7.19343318721076,"urban"
"26","urban.water.beach","Feature4",2500,"beach",2499,"urban"
"27","urban.water.scrub","Feature1",1,"all_else",-1608.53265820565,"urban"
"28","urban.water.scrub","Feature2",1609.53265820565,"urban",0,"urban"
"29","urban.water.scrub","Feature3",2500,"water",890.46734179435,"urban"
"30","urban.water.scrub","Feature4",2205.34821804812,"scrub",595.81555984247,"urban"
"31","urban.water.fixed","Feature1",1,"all_else",-2499,"urban"
"32","urban.water.fixed","Feature2",2500,"urban",0,"urban"
"33","urban.water.fixed","Feature3",25.5140939070266,"water",-2474.48590609297,"urban"
"34","urban.water.fixed","Feature4",653.759049296725,"trees",-1846.24095070327,"urban"
"35","urban.water.opend","Feature1",1,"all_else",-12.2894953198024,"urban"
"36","urban.water.opend","Feature2",13.2894953198024,"urban",0,"urban"
"37","urban.water.opend","Feature3",53.8535597005034,"water",40.564064380701,"urban"
"38","urban.water.opend","Feature4",2500,"opend",2486.7105046802,"urban"
"39","urban.agric.beach","Feature1",2496.6868713279,"all_else",2495.6868713279,"urban"
"40","urban.agric.beach","Feature2",1,"urban",0,"urban"
"41","urban.agric.beach","Feature3",952.809481498878,"agric",951.809481498878,"urban"
"42","urban.agric.beach","Feature4",2500,"beach",2499,"urban"
"43","urban.agric.scrub","Feature1",1,"all_else",-1952.42093803003,"urban"
"44","urban.agric.scrub","Feature2",1953.42093803003,"urban",0,"urban"
"45","urban.agric.scrub","Feature3",23.1095953676454,"agric",-1930.31134266238,"urban"
"46","urban.agric.scrub","Feature4",2500,"scrub",546.57906196997,"urban"
"47","urban.agric.fixed","Feature1",1,"all_else",-2499,"urban"
"48","urban.agric.fixed","Feature2",2500,"urban",0,"urban"
"49","urban.agric.fixed","Feature3",83.2133089424515,"agric",-2416.78669105755,"urban"
"50","urban.agric.fixed","Feature4",246.345098616554,"trees",-2253.65490138345,"urban"
"51","urban.agric.opend","Feature1",1,"all_else",-2499,"urban"
"52","urban.agric.opend","Feature2",2500,"urban",0,"urban"
"53","urban.agric.opend","Feature3",209.856901818282,"agric",-2290.14309818172,"urban"
"54","urban.agric.opend","Feature4",3.59192225575725,"opend",-2496.40807774424,"urban"
"55","urban.beach.scrub","Feature1",1,"all_else",-2499,"urban"
"56","urban.beach.scrub","Feature2",2500,"urban",0,"urban"
"57","urban.beach.scrub","Feature3",1699.61710025654,"beach",-800.38289974346,"urban"
"58","urban.beach.scrub","Feature4",266.481869765088,"scrub",-2233.51813023491,"urban"
"59","urban.beach.fixed","Feature1",1,"all_else",-2499,"urban"
"60","urban.beach.fixed","Feature2",2500,"urban",0,"urban"
"61","urban.beach.fixed","Feature3",8.61738238321323,"beach",-2491.38261761679,"urban"
"62","urban.beach.fixed","Feature4",473.257389635022,"trees",-2026.74261036498,"urban"
"63","urban.beach.opend","Feature1",83.1491417966549,"all_else",82.1491417966549,"urban"
"64","urban.beach.opend","Feature2",1,"urban",0,"urban"
"65","urban.beach.opend","Feature3",2500,"beach",2499,"urban"
"66","urban.beach.opend","Feature4",62.8451081545804,"opend",61.8451081545804,"urban"
"67","urban.scrub.fixed","Feature1",1,"all_else",-26.3989549667276,"urban"
"68","urban.scrub.fixed","Feature2",27.3989549667276,"urban",0,"urban"
"69","urban.scrub.fixed","Feature3",1293.09042593281,"scrub",1265.69147096608,"urban"
"70","urban.scrub.fixed","Feature4",2500,"trees",2472.60104503327,"urban"
"71","urban.scrub.opend","Feature1",1,"all_else",-2474.83770726186,"urban"
"72","urban.scrub.opend","Feature2",2475.83770726186,"urban",0,"urban"
"73","urban.scrub.opend","Feature3",295.299401726591,"scrub",-2180.53830553527,"urban"
"74","urban.scrub.opend","Feature4",2500,"opend",24.16229273814,"urban"
"75","urban.fixed.opend","Feature1",1,"all_else",-2499,"urban"
"76","urban.fixed.opend","Feature2",2500,"urban",0,"urban"
"77","urban.fixed.opend","Feature3",533.474910312977,"trees",-1966.52508968702,"urban"
"78","urban.fixed.opend","Feature4",100.3752511387,"opend",-2399.6247488613,"urban"
"79","urban.water.agric.beach","Feature1",74.8221909627973,"all_else",73.8221909627973,"urban"
"80","urban.water.agric.beach","Feature2",1,"urban",0,"urban"
"81","urban.water.agric.beach","Feature3",1.93579205532433,"water",0.93579205532433,"urban"
"82","urban.water.agric.beach","Feature4",134.580865731885,"agric",133.580865731885,"urban"
"83","urban.water.agric.beach","Feature5",2500,"beach",2499,"urban"
"84","urban.water.agric.scrub","Feature1",1,"all_else",-2499,"urban"
"85","urban.water.agric.scrub","Feature2",2500,"urban",0,"urban"
"86","urban.water.agric.scrub","Feature3",1532.47123833251,"water",-967.52876166749,"urban"
"87","urban.water.agric.scrub","Feature4",13.1469985485492,"agric",-2486.85300145145,"urban"
"88","urban.water.agric.scrub","Feature5",1757.48177792734,"scrub",-742.51822207266,"urban"
"89","urban.water.agric.fixed","Feature1",1.22992486322528,"all_else",-2498.77007513677,"urban"
"90","urban.water.agric.fixed","Feature2",2500,"urban",0,"urban"
"91","urban.water.agric.fixed","Feature3",1,"water",-2499,"urban"
"92","urban.water.agric.fixed","Feature4",84.1776057073371,"agric",-2415.82239429266,"urban"
"93","urban.water.agric.fixed","Feature5",238.170972394386,"trees",-2261.82902760561,"urban"
"94","urban.water.agric.opend","Feature1",2.03166768213805,"all_else",-1102.70673115761,"urban"
"95","urban.water.agric.opend","Feature2",1104.73839883975,"urban",0,"urban"
"96","urban.water.agric.opend","Feature3",2500,"water",1395.26160116025,"urban"
"97","urban.water.agric.opend","Feature4",45.2021726710536,"agric",-1059.5362261687,"urban"
"98","urban.water.agric.opend","Feature5",1,"opend",-1103.73839883975,"urban"
"99","urban.water.beach.scrub","Feature1",1,"all_else",-2499,"urban"
"100","urban.water.beach.scrub","Feature2",2500,"urban",0,"urban"
"101","urban.water.beach.scrub","Feature3",1236.00915036279,"water",-1263.99084963721,"urban"
"102","urban.water.beach.scrub","Feature4",2437.91497533916,"beach",-62.0850246608402,"urban"
"103","urban.water.beach.scrub","Feature5",172.286889389619,"scrub",-2327.71311061038,"urban"
"104","urban.water.beach.fixed","Feature1",1,"all_else",-2499,"urban"
"105","urban.water.beach.fixed","Feature2",2500,"urban",0,"urban"
"106","urban.water.beach.fixed","Feature3",247.174384913286,"water",-2252.82561508671,"urban"
"107","urban.water.beach.fixed","Feature4",2142.57083747557,"beach",-357.42916252443,"urban"
"108","urban.water.beach.fixed","Feature5",972.585512024473,"trees",-1527.41448797553,"urban"
"109","urban.water.beach.opend","Feature1",1,"all_else",-11.504333384014,"urban"
"110","urban.water.beach.opend","Feature2",12.504333384014,"urban",0,"urban"
"111","urban.water.beach.opend","Feature3",86.1432525667292,"water",73.6389191827152,"urban"
"112","urban.water.beach.opend","Feature4",616.796747558229,"beach",604.292414174215,"urban"
"113","urban.water.beach.opend","Feature5",2500,"opend",2487.49566661599,"urban"
"114","urban.water.scrub.fixed","Feature1",1,"all_else",-62.613034562492,"urban"
"115","urban.water.scrub.fixed","Feature2",63.613034562492,"urban",0,"urban"
"116","urban.water.scrub.fixed","Feature3",2345.59455180386,"water",2281.98151724137,"urban"
"117","urban.water.scrub.fixed","Feature4",1555.61100725746,"scrub",1491.99797269497,"urban"
"118","urban.water.scrub.fixed","Feature5",2500,"trees",2436.38696543751,"urban"
"119","urban.water.scrub.opend","Feature1",0.999999999999545,"all_else",-40.6313017155467,"urban"
"120","urban.water.scrub.opend","Feature2",41.6313017155462,"urban",0,"urban"
"121","urban.water.scrub.opend","Feature3",1080.26985308992,"water",1038.63855137437,"urban"
"122","urban.water.scrub.opend","Feature4",2500,"scrub",2458.36869828445,"urban"
"123","urban.water.scrub.opend","Feature5",985.851503428328,"opend",944.220201712782,"urban"
"124","urban.water.fixed.opend","Feature1",0.999999999999545,"all_else",-2499,"urban"
"125","urban.water.fixed.opend","Feature2",2500,"urban",0,"urban"
"126","urban.water.fixed.opend","Feature3",1.01686970840319,"water",-2498.9831302916,"urban"
"127","urban.water.fixed.opend","Feature4",533.794746872805,"trees",-1966.20525312719,"urban"
"128","urban.water.fixed.opend","Feature5",99.8622107995693,"opend",-2400.13778920043,"urban"
"129","urban.agric.beach.scrub","Feature1",2.04441519928469,"all_else",-2497.95558480072,"urban"
"130","urban.agric.beach.scrub","Feature2",2500,"urban",0,"urban"
"131","urban.agric.beach.scrub","Feature3",32.7723151613932,"agric",-2467.22768483861,"urban"
"132","urban.agric.beach.scrub","Feature4",1,"beach",-2499,"urban"
"133","urban.agric.beach.scrub","Feature5",1757.82063203065,"scrub",-742.17936796935,"urban"
"134","urban.agric.beach.fixed","Feature1",1,"all_else",-2499,"urban"
"135","urban.agric.beach.fixed","Feature2",2500,"urban",0,"urban"
"136","urban.agric.beach.fixed","Feature3",283.964064352807,"agric",-2216.03593564719,"urban"
"137","urban.agric.beach.fixed","Feature4",7.03814808110747,"beach",-2492.96185191889,"urban"
"138","urban.agric.beach.fixed","Feature5",841.410615996968,"trees",-1658.58938400303,"urban"
"139","urban.agric.beach.opend","Feature1",2041.93707774645,"all_else",2040.93707774645,"urban"
"140","urban.agric.beach.opend","Feature2",1,"urban",0,"urban"
"141","urban.agric.beach.opend","Feature3",784.629573792591,"agric",783.629573792591,"urban"
"142","urban.agric.beach.opend","Feature4",2500,"beach",2499,"urban"
"143","urban.agric.beach.opend","Feature5",2067.3229183516,"opend",2066.3229183516,"urban"
"144","urban.agric.scrub.fixed","Feature1",2.33942977760762,"all_else",1.33942977760762,"urban"
"145","urban.agric.scrub.fixed","Feature2",1,"urban",0,"urban"
"146","urban.agric.scrub.fixed","Feature3",2500,"agric",2499,"urban"
"147","urban.agric.scrub.fixed","Feature4",405.119874770955,"scrub",404.119874770955,"urban"
"148","urban.agric.scrub.fixed","Feature5",1386.76610458037,"trees",1385.76610458037,"urban"
"149","urban.agric.scrub.opend","Feature1",1,"all_else",-45.0576675281877,"urban"
"150","urban.agric.scrub.opend","Feature2",46.0576675281877,"urban",0,"urban"
"151","urban.agric.scrub.opend","Feature3",230.020145882286,"agric",183.962478354098,"urban"
"152","urban.agric.scrub.opend","Feature4",2500,"scrub",2453.94233247181,"urban"
"153","urban.agric.scrub.opend","Feature5",987.500837646583,"opend",941.443170118395,"urban"
"154","urban.agric.fixed.opend","Feature1",1,"all_else",-2499,"urban"
"155","urban.agric.fixed.opend","Feature2",2500,"urban",0,"urban"
"156","urban.agric.fixed.opend","Feature3",974.413525871589,"agric",-1525.58647412841,"urban"
"157","urban.agric.fixed.opend","Feature4",2240.93712629217,"trees",-259.06287370783,"urban"
"158","urban.agric.fixed.opend","Feature5",1509.78033929339,"opend",-990.21966070661,"urban"
"159","urban.beach.scrub.fixed","Feature1",1,"all_else",-82.5223236736733,"urban"
"160","urban.beach.scrub.fixed","Feature2",83.5223236736733,"urban",0,"urban"
"161","urban.beach.scrub.fixed","Feature3",778.957766593703,"beach",695.43544292003,"urban"
"162","urban.beach.scrub.fixed","Feature4",2500,"scrub",2416.47767632633,"urban"
"163","urban.beach.scrub.fixed","Feature5",1090.30042675922,"trees",1006.77810308555,"urban"
"164","urban.beach.scrub.opend","Feature1",1,"all_else",-2499,"urban"
"165","urban.beach.scrub.opend","Feature2",2500,"urban",0,"urban"
"166","urban.beach.scrub.opend","Feature3",568.204780743226,"beach",-1931.79521925677,"urban"
"167","urban.beach.scrub.opend","Feature4",54.7799001820476,"scrub",-2445.22009981795,"urban"
"168","urban.beach.scrub.opend","Feature5",1091.55238105857,"opend",-1408.44761894143,"urban"
"169","urban.beach.fixed.opend","Feature1",1,"all_else",-2018.81420936754,"urban"
"170","urban.beach.fixed.opend","Feature2",2019.81420936754,"urban",0,"urban"
"171","urban.beach.fixed.opend","Feature3",1864.02480540934,"beach",-155.7894039582,"urban"
"172","urban.beach.fixed.opend","Feature4",2123.96855711566,"trees",104.15434774812,"urban"
"173","urban.beach.fixed.opend","Feature5",2500,"opend",480.18579063246,"urban"
"174","urban.scrub.fixed.opend","Feature1",1,"all_else",-1018.48666658788,"urban"
"175","urban.scrub.fixed.opend","Feature2",1019.48666658788,"urban",0,"urban"
"176","urban.scrub.fixed.opend","Feature3",2500,"scrub",1480.51333341212,"urban"
"177","urban.scrub.fixed.opend","Feature4",49.459603272453,"trees",-970.027063315427,"urban"
"178","urban.scrub.fixed.opend","Feature5",126.244511511363,"opend",-893.242155076517,"urban"
"179","urban.water.agric.beach.scrub","Feature1",1,"all_else",-2036.89081756464,"urban"
"180","urban.water.agric.beach.scrub","Feature2",2037.89081756464,"urban",0,"urban"
"181","urban.water.agric.beach.scrub","Feature3",585.495292059341,"water",-1452.3955255053,"urban"
"182","urban.water.agric.beach.scrub","Feature4",2148.34991365125,"agric",110.45909608661,"urban"
"183","urban.water.agric.beach.scrub","Feature5",229.920135235741,"beach",-1807.9706823289,"urban"
"184","urban.water.agric.beach.scrub","Feature6",2500,"scrub",462.10918243536,"urban"
"185","urban.water.agric.beach.fixed","Feature1",1.19432949275915,"all_else",-46.0647529613735,"urban"
"186","urban.water.agric.beach.fixed","Feature2",47.2590824541326,"urban",0,"urban"
"187","urban.water.agric.beach.fixed","Feature3",1,"water",-46.2590824541326,"urban"
"188","urban.water.agric.beach.fixed","Feature4",592.917308065239,"agric",545.658225611106,"urban"
"189","urban.water.agric.beach.fixed","Feature5",910.825197360332,"beach",863.566114906199,"urban"
"190","urban.water.agric.beach.fixed","Feature6",2500,"trees",2452.74091754587,"urban"
