"","Surface","obj.func_LL","k","AIC","AICc","R2m","R2c","LL","DeltaAIC","DeltaAICc","DeltaLL","Feature1","Feature2"
"1","urban",-212945.994532906,3,425897.989065774,425898.033925588,9.05557408671616e-05,0.6519291173069,-212945.994532887,0,0,0,2500,1
"2","Null",-212949.837312611,1,425901.674625222,425901.682074012,0,0.651955813920255,-212949.837312611,3.68555944797117,3.6481484239921,3.84277972398559,NA,NA
"3","Distance",-212948.935227506,2,425901.870455013,425901.892843072,4.90662987553372e-06,0.651929046422247,-212948.935227506,3.88138923898805,3.85891748400172,2.94069461899926,NA,NA
"4","water",-212948.930840747,3,425903.902554637,425903.94741445,9.84876489198789e-06,0.651946977428777,-212948.951277319,5.91348886297783,5.9134888619883,2.95674443198368,1,2500
"5","agric",-212948.896334151,3,425904.40684755,425904.451707363,3.99352058656652e-05,0.652031106380982,-212949.203423775,6.4177817759919,6.41778177500237,3.20889088799595,1,2500
"6","beach",-212948.935227507,3,425903.870455013,425903.915314826,4.90662987458027e-06,0.651929046486208,-212948.935227507,5.88138923898805,5.88138923799852,2.94069461998879,1,2500
"7","scrub",-212948.926342773,3,425904.650594566,425904.695454379,5.04166015692368e-05,0.651795037302586,-212949.325297283,6.66152879199944,6.66152879100991,3.33076439599972,1,2500
"8","fixed",-212948.901955285,3,425904.328996264,425904.373856077,4.87738599576283e-06,0.651928048028961,-212949.164498132,6.33993049000856,6.33993048901903,3.16996524500428,2500,1
"9","opend",-212948.779740785,3,425904.433148412,425904.478008225,5.67569909030923e-05,0.652073239537529,-212949.216574206,6.44408263795776,6.44408263696823,3.22204131897888,1,2500
