"","area","surface","name","value","category","value.resc","category.focal"
"1","westhoek","opend.urban","Feature1",1,"all_else",-2499,"urban"
"2","westhoek","opend.urban","Feature2",115.424279090032,"opend",-2384.57572090997,"urban"
"3","westhoek","opend.urban","Feature3",2500,"urban",0,"urban"
"4","westhoek","fixed.urban","Feature1",1,"all_else",-2499,"urban"
"5","westhoek","fixed.urban","Feature2",1.13162881964035,"trees",-2498.86837118036,"urban"
"6","westhoek","fixed.urban","Feature3",2500,"urban",0,"urban"
"7","westhoek","scrub.urban","Feature1",1,"all_else",-2499,"urban"
"8","westhoek","scrub.urban","Feature2",13.9314646740099,"scrub",-2486.06853532599,"urban"
"9","westhoek","scrub.urban","Feature3",2500,"urban",0,"urban"
"10","westhoek","beach.urban","Feature1",1,"all_else",-784.535672596694,"urban"
"11","westhoek","beach.urban","Feature2",2500,"beach",1714.46432740331,"urban"
"12","westhoek","beach.urban","Feature3",785.535672596694,"urban",0,"urban"
"13","westhoek","opend.fixed.urban","Feature1",1,"all_else",-37.6867353887474,"urban"
"14","westhoek","opend.fixed.urban","Feature2",1257.60070944971,"opend",1218.91397406096,"urban"
"15","westhoek","opend.fixed.urban","Feature3",2500,"trees",2461.31326461125,"urban"
"16","westhoek","opend.fixed.urban","Feature4",38.6867353887474,"urban",0,"urban"
"17","westhoek","opend.scrub.urban","Feature1",0.999999999999545,"all_else",-45.7430808812488,"urban"
"18","westhoek","opend.scrub.urban","Feature2",346.254223287991,"opend",299.511142406743,"urban"
"19","westhoek","opend.scrub.urban","Feature3",2500,"scrub",2453.25691911875,"urban"
"20","westhoek","opend.scrub.urban","Feature4",46.7430808812483,"urban",0,"urban"
"21","westhoek","opend.beach.urban","Feature1",1.00000346188926,"all_else",-1358.67551864912,"urban"
"22","westhoek","opend.beach.urban","Feature2",1,"opend",-1358.67552211101,"urban"
"23","westhoek","opend.beach.urban","Feature3",2500,"beach",1140.32447788899,"urban"
"24","westhoek","opend.beach.urban","Feature4",1359.67552211101,"urban",0,"urban"
"25","westhoek","fixed.scrub.urban","Feature1",2.08196125719178,"all_else",-2497.91803874281,"urban"
"26","westhoek","fixed.scrub.urban","Feature2",1,"trees",-2499,"urban"
"27","westhoek","fixed.scrub.urban","Feature3",25.0863049791901,"scrub",-2474.91369502081,"urban"
"28","westhoek","fixed.scrub.urban","Feature4",2500,"urban",0,"urban"
"29","westhoek","fixed.beach.urban","Feature1",1.00871696024296,"all_else",-0.0678797988175601,"urban"
"30","westhoek","fixed.beach.urban","Feature2",1,"trees",-0.0765967590605201,"urban"
"31","westhoek","fixed.beach.urban","Feature3",2500,"beach",2498.92340324094,"urban"
"32","westhoek","fixed.beach.urban","Feature4",1.07659675906052,"urban",0,"urban"
"33","westhoek","scrub.beach.urban","Feature1",1,"all_else",-2143.3817381599,"urban"
